Category: All categories

Month,Nike: (United States)
2014-01,46
2014-02,53
2014-03,51
2014-04,52
2014-05,50
2014-06,51
2014-07,48
2014-08,54
2014-09,46
2014-10,44
2014-11,54
2014-12,63
2015-01,49
2015-02,50
2015-03,55
2015-04,50
2015-05,49
2015-06,47
2015-07,55
2015-08,59
2015-09,48
2015-10,51
2015-11,63
2015-12,67
2016-01,57
2016-02,59
2016-03,61
2016-04,57
2016-05,55
2016-06,52
2016-07,58
2016-08,62
2016-09,53
2016-10,55
2016-11,65
2016-12,68
2017-01,51
2017-02,52
2017-03,57
2017-04,54
2017-05,49
2017-06,49
2017-07,55
2017-08,59
2017-09,50
2017-10,50
2017-11,64
2017-12,66
2018-01,48
2018-02,56
2018-03,58
2018-04,51
2018-05,47
2018-06,51
2018-07,58
2018-08,59
2018-09,100
2018-10,51
2018-11,64
2018-12,70
2019-01,52
2019-02,57
2019-03,58
2019-04,54
2019-05,52
2019-06,53
2019-07,62
2019-08,63
2019-09,51
2019-10,51
2019-11,67
2019-12,77
2020-01,54
2020-02,63
2020-03,49
2020-04,52
2020-05,64
2020-06,63
2020-07,64
2020-08,60
2020-09,55
2020-10,58
2020-11,65
2020-12,73
2021-01,53
2021-02,54
2021-03,67
2021-04,61
2021-05,53
2021-06,52
2021-07,60
2021-08,63
2021-09,61
2021-10,56
2021-11,79
2021-12,82
2022-01,59
2022-02,61
2022-03,62
2022-04,58
2022-05,59
2022-06,55
2022-07,63
2022-08,70
2022-09,57
2022-10,57
2022-11,77
2022-12,85
2023-01,62
2023-02,63
2023-03,64
2023-04,65
2023-05,59
2023-06,57
2023-07,60
2023-08,68
2023-09,57
2023-10,56
2023-11,76
2023-12,78
